form	lemma	POS	morph
penra	prẹndre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
si	si	ADVgen	DEGRE=-
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
voil	volẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
.	.	PONfrt	_
mout	mọlt 	ADVgen	DEGRE=-
i	i	PROadv	MORPH=empty
faria	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
gran	gran 	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
ergueil	orgǫlh	VERppe	NOMB.=s|GENRE=m|CAS=n
s'	si	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
ieu	eu	VERppe	NOMB.=s|GENRE=m|CAS=r
d'	de	PRE	MORPH=empty
aizo	aisso	VERppe	NOMB.=s|GENRE=m|CAS=n
dizia	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
no	nọṉ	NOMcom	MORPH=empty
.	.	PONfrt	_
d'	de	PRE	MORPH=empty
autra	autre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
part	part3	VERcjg	NOMB.=s|GENRE=f|CAS=r
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
reis	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=n
mi	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
somo	somonir	PRE	NOMB.=s|GENRE=m|CAS=r
que	que2	CONsub	MORPH=empty
,	,	PONfbl	_
si	si	ADVgen	DEGRE=-
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
plaz	plazẹr	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
ma	ma	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
filla	filha	NOMcom	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
penra	prẹndre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
,	,	PONfbl	_
per	per	NOMcom	MORPH=empty
autra	autre	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
non	non	NOMcom	MORPH=empty
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
laissara	laisar	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
;	;	PONfbl	_
mais	mais	CONcoo	MORPH=empty
aisso	aisso	VERcjg	MODE=imp|PERS.=1|NOMB.=p
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
par	parẹr	PRE	MORPH=empty
causa	causa	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
trop	trǫp2	ADVgen	DEGRE=-
brava	brau 	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
si	si	ADVgen	DEGRE=-
flamencha	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
deven	devenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
esclava	esclau2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
:	:	PONfbl	_
mais	mais	CONcoo	MORPH=empty
voil	volẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
que	que2	CONsub	MORPH=empty
sia	ęser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
castellana	castelaṉ	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
e	e	CONcoo	MORPH=empty
qu'	que2	CONsub	MORPH=empty
ieu	eu	VERppe	NOMB.=s|GENRE=m|CAS=r
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
veja	vezẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
semana	semana	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
o	ǫ 	PROrel	MORPH=empty
-l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
mes	mẹs	CONcoo	MORPH=empty
o	ǫ 	PROrel	MORPH=empty
l'	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
an	an	PRE	MORPH=empty
una	uṉ	NOMpro	NOMB.=s|GENRE=f|CAS=n
vegada	vegada	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
que	que	CONsub	MORPH=empty
fos	ęser	NOMcom	NOMB.=s|GENRE=m|CAS=n
reina	regina	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
coronada	coronar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
per	per	NOMcom	MORPH=empty
tal	tal	ADVgen	NOMB.=s|GENRE=m|CAS=r
que	que2	CONsub	MORPH=empty
non	nọṉ	NOMcom	MORPH=empty
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
vis	vezẹr	NOMcom	NOMB.=s|GENRE=m|CAS=r
jamais	ja	ADVgen	DEGRE=-
.	.	PONfrt	_
anc	anc	ADVgen	DEGRE=-
paires	paire	NOMcom	NOMB.=s|GENRE=m|CAS=n
tan	tan	ADVgen	DEGRE=-
gran	gran 	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
mal	mal	ADVgen	DEGRE=-
non	nọṉ	NOMcom	MORPH=empty
trais	traire	NOMcom	NOMB.=p|GENRE=m|CAS=n
per	per	NOMcom	MORPH=empty
sa	sa	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
filla	filha	NOMcom	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
con	cọm	NOMcom	MORPH=empty
ieu	eu	VERppe	NOMB.=s|GENRE=m|CAS=r
trairia	traire 	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
s'	si	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
en	ẹn	PRE	MORPH=empty
aisi	aissi	ADVgen	DEGRE=-
tostems	tọt+tẹmps	ADJind	NOMB.=s|GENRE=m|CAS=n
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
perdia	pęrdre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
pero	pero	NOMcom	NOMB.=s|GENRE=m|CAS=n
vostre	vǫstre	DETpos	PERS.=2|NOMB.=p|GENRE=m|CAS=n
sen	sẹn	PRE	MORPH=empty
m'	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
en	ẹn3	PRE	MORPH=empty
digas	dire	NOMpro	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
«	«	PONpga	MORPH=empty
sener	senhọr	VERinf	MORPH=empty
»	»	PONpdr	MORPH=empty
,	,	PONfbl	_
fan	faire	NOMcom	NOMB.=s|GENRE=m|CAS=r
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
il	lo3	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
«	«	PONpga	MORPH=empty
mais	mais 	CONcoo	MORPH=empty
tan	tan	ADVgen	DEGRE=-
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
plaz	plazẹr	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
a	a2	PRE	MORPH=empty
n'	ẹn2	ADVneg	MORPH=empty
archimbaut	Archimbaut	NOMpro	NOMB.=s|GENRE=m|CAS=n
no	nọṉ	NOMcom	MORPH=empty
-us	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
deves	devẹr	VERcjg	NOMB.=p|GENRE=f|CAS=r
fener	fẹnher	VERinf	MORPH=empty
;	;	PONfbl	_
meller	melhọr	VERinf	MORPH=empty
cavalliers	cavalier	NOMpro	NOMB.=s|GENRE=m|CAS=n
nom	nọṉ	NOMcom	MORPH=empty
pot	podẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cener	cẹnher	VERinf	MORPH=empty
espaza	espaza	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tan	tan	ADVgen	DEGRE=-
quan	can3	CONsub	MORPH=empty
dura	durar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
-l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
monz	mọn2	VERppe	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	_
de	de	PRE	MORPH=empty
totz	tọt	PROind	NOMB.=s|GENRE=m|CAS=n
mals	mal	NOMcom	NOMB.=s|GENRE=m|CAS=n
aips	aip	ADVgen	DEGRE=-
es	ęser	PRE.DETdef	DEGRE=-
sos	sos	PRE	MORPH=empty
cors	cǫr	NOMcom	NOMB.=s|GENRE=m|CAS=r
monz	mọn3	VERppe	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cors	cǫr	NOMcom	NOMB.=s|GENRE=m|CAS=r
nos	nọs	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
o	ọ2	PROrel	MORPH=empty
dis	dire	NOMcom	NOMB.=p|GENRE=m|CAS=n
et	e	CONcoo	MORPH=empty
amors	amọr	NOMcom	NOMB.=s|GENRE=m|CAS=n
mais	mais 	CONcoo	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
faria	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
socors	secọrs	NOMcom	NOMB.=s|GENRE=m|CAS=n
en	ẹn2	PRE	MORPH=empty
archimbautz	Archimbautz	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
s'	si	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
ops	ǫps	NOMcom	MORPH=empty
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
avia	avẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
que	que	CONsub	MORPH=empty
-l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
reis	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=n
esclaus	esclau2	NOMcom	NOMB.=s|GENRE=m|CAS=n
ni	ni	ADVneg	NOMB.=s|GENRE=m|CAS=n
-l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
reis	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=n
d'	de	PRE	MORPH=empty
ongria	Ongria	NOMpro	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
pero	pero	NOMcom	NOMB.=s|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
madona	mon+dọmna	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
-n	ẹn3	ADVneg	MORPH=empty
parllaz	parlar	VERppe	NOMB.=s|GENRE=m|CAS=n
et	e	CONcoo	MORPH=empty
a	a2	PRE	MORPH=empty
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
o	ọ2	PROrel	MORPH=empty
demandaz	demandar	VERppe	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
quar	car3	CONcoo	MORPH=empty
ben	bẹṉ	ADVgen	DEGRE=p
es	ęser	PRE.DETdef	DEGRE=-
tals	tal	NOMpro	NOMB.=s|GENRE=m|CAS=n
qu'	que2	CONsub	MORPH=empty
e	ẹn	CONcoo	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
talen	talẹn	NOMcom	NOMB.=s|GENRE=m|CAS=r
sap	saber	PRE	MORPH=empty
esgardar	esgardar	VERinf	MORPH=empty
razon	razọṉ	NOMcom	NOMB.=p|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
sen	sẹn	PRE	MORPH=empty
;	;	PONfbl	_
e	e	CONcoo	MORPH=empty
tut	tọt	ADVgen	NOMB.=s|GENRE=m|CAS=n
nos	nọs	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
autr'	autre	ADVgen	NOMB.=s|GENRE=m|CAS=r
issir	eisir	VERinf	MORPH=empty
nos	nọs	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
n'	ẹn3	ADVneg	MORPH=empty
em	ęser	ADVgen	DEGRE=-
;	;	PONfbl	_
fors	fǫrs	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
el	el	PRE.DETdef	PERS.=3|NOMB.=s|GENRE=f|CAS=n
palaiz	palatz	VERppe	NOMB.=s|GENRE=m|CAS=n
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
attendrem	atẹndre	VERppe	MODE=imp|PERS.=1|NOMB.=p
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
le	lo2	DETdef	PERS.=3|NOMB.=s|GENRE=m|CAS=r
coms	cọmte	VERppe	MORPH=empty
fes	faire	VERcjg	NOMB.=p|GENRE=f|CAS=r
sa	sa	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r
mollier	molhęr	NOMcom	NOMB.=s|GENRE=m|CAS=n
venir	venir	VERinf	MORPH=empty
.	.	PONfrt	_
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
non	nọṉ	NOMcom	MORPH=empty
i	i	PROadv	MORPH=empty
volc	volẹr	NOMcom	NOMB.=s|GENRE=m|CAS=r
giquir	gequir	NOMpro	NOMB.=s|GENRE=m|CAS=n
;	;	PONfbl	_
dedins	dedins	ADVgen	DEGRE=-
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
cambra	cambra	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
son	ęser	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vengudas	venir	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
dejosta	jọsta2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
lui	lui	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
son	ęser	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
assegudas	asezẹr	NOMpro	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
«	«	PONpga	MORPH=empty
domna	dọmna	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
»	»	PONpdr	MORPH=empty
,	,	PONfbl	_
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
el	el2	PRE.DETdef	PERS.=3|NOMB.=s|GENRE=f|CAS=n
,	,	PONfbl	_
«	«	PONpga	MORPH=empty
mestier	mestier	NOMcom	NOMB.=s|GENRE=m|CAS=n
avem	avẹr	ADVgen	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
de	de	PRE	MORPH=empty
penre	prẹndre	NOMpro	NOMB.=s|GENRE=m|CAS=n
conseil	consẹlh	VERppe	NOMB.=s|GENRE=m|CAS=r
si	si	ADVgen	DEGRE=-
podem	podẹr	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
avez	avẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
ben	bẹṉ	ADVgen	DEGRE=p
,	,	PONfbl	_
so	so	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
cug	cuidar	NOMcom	NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
auzit	auzir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
que	que2	CONsub	MORPH=empty
-l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
rei	rẹi	NOMcom	NOMB.=s|GENRE=m|CAS=r
pot	podẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aver	avẹr	VERinf	MORPH=empty
per	per	NOMcom	MORPH=empty
marit	marit	NOMcom	NOMB.=s|GENRE=m|CAS=r
ma	ma	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=n
bella	bęl	ADVgen	DEGRE=-
filla	filha	NOMcom	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
qu'	que	CONsub	MORPH=empty
es	ęser	PRE.DETdef	DEGRE=-
aici	aici	ADVgen	DEGRE=-
;	;	PONfbl	_
gran	gran 	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
honor	onọr	NOMcom	NOMB.=s|GENRE=m|CAS=n
nos	nọs	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
,	,	PONfbl	_
so	so	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
-us	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n
afi	afisar	VERcjg	NOMB.=s|GENRE=m|CAS=r
,	,	PONfbl	_
car	car3	CONcoo	MORPH=empty
per	per	NOMcom	MORPH=empty
mollier	molhęr	NOMcom	NOMB.=s|GENRE=m|CAS=n
penre	prẹndre	NOMpro	NOMB.=s|GENRE=m|CAS=n
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
deinna	denhar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
»	»	PONpdr	MORPH=empty
«	«	PONpga	MORPH=empty
sener	senhọr	VERinf	MORPH=empty
»	»	PONpdr	MORPH=empty
,	,	PONfbl	_
fai	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=s
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
il	lo3	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
,	,	PONfbl	_
«	«	PONpga	MORPH=empty
glazis	glavi 	VERppe	NOMB.=s|GENRE=m|CAS=n
m'	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
esteinna	estenher	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
s'	si	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
ieu	eu	VERppe	NOMB.=s|GENRE=m|CAS=r
ja	ja	ADVgen	DEGRE=-
o	ọ2	PROrel	MORPH=empty
voil	volẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
ni	ni	ADVneg	NOMB.=s|GENRE=m|CAS=n
o	ọ2 	PROrel	MORPH=empty
volrai	volẹr	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
!	!	PONfrt	_
car	car3	CONcoo	MORPH=empty
m'	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
o	ọ2	PROrel	MORPH=empty
dizes	dire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
trop	trǫp2	ADVgen	DEGRE=-
m'	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
en	ẹn3	PRE	MORPH=empty
esglai	esglaiar	VERppe	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
;	;	PONfbl	_
volrias	volẹr	NOMcom	NOMB.=s|GENRE=m|CAS=n
donc	dọnc	ADVgen	DEGRE=-
qu'	que2	CONsub	MORPH=empty
ieu	eu	VERppe	NOMB.=s|GENRE=m|CAS=r
tramezes	tramẹtre	VERcjg	NOMB.=p|GENRE=f|CAS=r
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
ren	rẹṉ	NOMcom	MODE=imp|PERS.=2|NOMB.=s
del	de+lo2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
mon	mọn2	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r
c'	que	CONsub	NOMB.=s|GENRE=n|CAS=n
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
cor	cǫr	NOMcom	MORPH=empty
plus	plus	ADVgen	DEGRE=-
m'	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
es	ęser	PRE.DETdef	DEGRE=-
?	?	PONfrt	_
ben	bẹṉ	ADVgen	DEGRE=p
valc	valẹr	NOMcom	NOMB.=s|GENRE=m|CAS=n
una	uṉ	NOMpro	NOMB.=s|GENRE=f|CAS=n
rica	ric	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ciutat	ciutat	NOMcom	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	_
hanc	anc	ADVgen	NOMB.=s|GENRE=m|CAS=r
mais	mais	CONcoo	MORPH=empty
un	uṉ	DETndf	NOMB.=s|GENRE=m|CAS=r
jorn	jọrn	NOMcom	NOMB.=s|GENRE=m|CAS=r
non	nọṉ	NOMcom	MORPH=empty
repauseron	repauzar	VERppe	NOMB.=p|GENRE=m|CAS=n
tro	tro	ADVgen	DEGRE=-
a	a2	PRE	MORPH=empty
borbo	Borbo	NOMcom	NOMB.=p|GENRE=m|CAS=n
;	;	PONfbl	_
aqui	aqui	ADVgen	DEGRE=-
troberon	trobar 	NOMcom	NOMB.=p|GENRE=m|CAS=n
n'	ẹn2	ADVneg	MORPH=empty
archimbaut	Archimbautz	NOMpro	NOMB.=s|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
cui	qui 	PROdem	NOMB.=s|GENRE=m|CAS=n
mout	mọlt 	ADVgen	DEGRE=-
pezava	pezar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
robert	Robert	NOMpro	NOMB.=s|GENRE=m|CAS=r
car	car3	CONcoo	MORPH=empty
tant	tan	ADVgen	DEGRE=-
demorava	demorar 	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	_
e	e	CONcoo	MORPH=empty
quant	can	CONsub	MORPH=empty
lo	lo3	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vi	vezẹr	VERcjg	MODE=imp|PERS.=2|NOMB.=s
fort	fǫrt	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
s'	sẹ	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
alegret	alegrar 	NOMpro	NOMB.=s|GENRE=m|CAS=n
del	de+lo2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
comte	cọmte	CONsub	MORPH=empty
gui	Gui	NOMcom	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
demandet	demandar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
e	e	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
atressi	atresi	ADVgen	DEGRE=-
.	.	PONfrt	_
cascuns	cascuṉ	PROind	NOMB.=s|GENRE=m|CAS=n
dels	de+lo2	ADVgen	NOMB.=s|GENRE=m|CAS=n
cavalliers	cavalier	NOMpro	NOMB.=s|GENRE=m|CAS=n
plevi	plẹure	VERppe	NOMB.=s|GENRE=m|CAS=r
que	que2	CONsub	MORPH=empty
robertz	Robert	NOMpro	NOMB.=s|GENRE=m|CAS=n
non	nọṉ	NOMcom	MORPH=empty
