form	lemma	POS	morph
Nos	nọs	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n
avem	avẹr	ADVgen	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
bailat	bailar	VERppe	NOMB.=s|GENRE=m|CAS=n
au	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
cosols	consol	VERppe	NOMB.=s|GENRE=m|CAS=n
XXV	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
Bertolmeus	Bertolmeu	NOMpro	NOMB.=s|GENRE=m|CAS=n
Patriarcha	Patriarcha	NOMpro	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
sai	sai	VERcjg	MODE=imp|PERS.=2|NOMB.=s
devia	devẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
per	pẹr	NOMcom	MORPH=empty
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Forneir	Forneir	NOMpro	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
e	e	CONcoo	MORPH=empty
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
per	pẹr	NOMcom	MORPH=empty
S	S	CONsub	DEGRE=-
Tondedor	Tondedor	NOMcom	NOMB.=s|GENRE=f|CAS=r
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
D	D	PRE	MORPH=empty
l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
uchaires	ucadọr	NOMpro	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
II	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
esmendesmes	emendar	ADVgen	DEGRE=-
a	a2	PRE	MORPH=empty
D	D	PRE	MORPH=empty
de	de	PRE	MORPH=empty
Ranos	Renos	NOMpro	NOMB.=p|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
sobrecot	sobrecǫt	VERppe	NOMB.=s|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
afolet	afolar	VERcjg	NOMB.=s|GENRE=m|CAS=r
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
cosolat	consolat	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
als	al2	PROper	NOMB.=s|GENRE=m|CAS=n
garsos	garsọṉ	NOMpro	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
portont	portar	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
gatjes	gatge	VERppe	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XL	caranta	ADJord	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
agront	avẹr	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
lhi	lo2	NOMcom	NOMB.=s|GENRE=m|CAS=r
cosol	consol	NOMcom	NOMB.=s|GENRE=m|CAS=r
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Bualet	Biuolet	NOMpro	NOMB.=s|GENRE=m|CAS=n
sos	sọṉ2	PRE	MORPH=empty
cors	cọrs	NOMcom	NOMB.=s|GENRE=m|CAS=r
cant	can	PROcar	MORPH=empty
donem	donar	VERppe	NOMB.=s|GENRE=m|CAS=r
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
letra	lẹtra	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
Riom	Riom	NOMpro	NOMB.=s|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
S	S	CONsub	DEGRE=-
Bonome	Bonome	NOMpro	NOMB.=s|GENRE=m|CAS=r
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
IX	@num@	ADJord	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
per	pẹr	NOMcom	MORPH=empty
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
borzes	borgẹs	NOMcom	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Paris	Paris	NOMpro	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XXV	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
P	P	PRE	MORPH=empty
Albanels	Albanel	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
part	part3	VERcjg	NOMB.=s|GENRE=f|CAS=r
P	P	PRE	MORPH=empty
Bonome	Bonome	NOMpro	NOMB.=s|GENRE=m|CAS=r
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
jorn	jọrn	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
Saint_Peire	Sanh_Peire	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
feureir	febrier	VERinf	MORPH=empty
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
agront	avẹr	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
lhi	lo2	NOMcom	NOMB.=s|GENRE=m|CAS=r
garso	garsọṉ	NOMpro	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
portont	portar	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
gatjes	gatge	VERppe	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XV	quinze	ADJord	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
Piatz	Piat	NOMcom	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
gatjament	gatjamẹn	ADVgen	DEGRE=-
del	del	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
cumi	comuṉ	VERppe	DEGRE=-
que	que	CONsub	MORPH=empty
lh	lo2	ADVgen	DEGRE=-
altre	autre	DETind	NOMB.=s|GENRE=f|CAS=r
cosol	consol	NOMcom	NOMB.=s|GENRE=m|CAS=r
aviont	avẹr	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
laisat	laisar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XI	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
meins	mẹns	ADVgen	DEGRE=-
II	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
per	pẹr	NOMcom	MORPH=empty
S	S	CONsub	DEGRE=-
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Merseir	Merseir	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
IIII	catre	PROcar	NOMB.=p|GENRE=m|CAS=r
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
J	J	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Malners	Malners	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
rosi	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
II	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
S	S	CONsub	DEGRE=-
Costansis	Costansis	VERppe	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
rosi	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
IIII	catre	PROcar	NOMB.=p|GENRE=m|CAS=r
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
P	P	PRE	MORPH=empty
Albanels	Albanel	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
rosi	rociṉ	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XL	caranta	ADJord	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
S	S	CONsub	DEGRE=-
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Mersers	Merseir	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XL	caranta	ADJord	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
W	W	CONcoo	MORPH=empty
Boisos	Boiso	NOMcom	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
X	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
de	de	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
sera	cẹra	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
V	@num@	PROper	NOMB.=p|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
per	pẹr	NOMcom	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
sera	cẹra	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
VI	@num@	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vi	viṉ	VERcjg	MODE=imp|PERS.=2|NOMB.=s
de	de	PRE	MORPH=empty
G	G	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
Porta	Porta	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XVIII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=r
d	denier	PRE	MORPH=empty
que	que	CONsub	MORPH=empty
costet	costar	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
papers	papier	NOMpro	NOMB.=s|GENRE=m|CAS=n
ont	ọ	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
hon	ọme	NOMcom	NOMB.=s|GENRE=m|CAS=n
mes	mẹtre	CONcoo	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
presta	pręsta	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Soma	sọma	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
VIXX	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
II	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
meins	mẹns	ADVgen	DEGRE=-
XV	quinze	ADJord	NOMB.=p|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XXIII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cumi	comuṉ	VERppe	DEGRE=-
a	a2	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
molher	molhęr	NOMpro	NOMB.=s|GENRE=m|CAS=n
S	S	CONsub	DEGRE=-
Iriso	Iriso	NOMpro	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
mes	mẹtre	CONcoo	MORPH=empty
en	ẹn	PRE	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
comte	cọmte2	CONsub	MORPH=empty
maistre	maestre	NOMcom	NOMB.=s|GENRE=m|CAS=n
D	D	PRE	MORPH=empty
Ortolas	Ortolas	NOMpro	NOMB.=s|GENRE=m|CAS=n
d	denier	PRE	MORPH=empty
aquet	aquẹst	ADVgen	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
lhi	lo3	NOMcom	NOMB.=s|GENRE=m|CAS=r
deviont	devẹr	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
lhi	lo2	NOMcom	NOMB.=s|GENRE=m|CAS=r
cosol	consol	NOMcom	NOMB.=s|GENRE=m|CAS=r
veilh	vẹlh	VERppe	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
VIII	@num@	PROcar	NOMB.=p|GENRE=m|CAS=r
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
D	D	PRE	MORPH=empty
l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
uchaires	ucadọr	NOMpro	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
IIII	catre	PROcar	NOMB.=p|GENRE=m|CAS=r
£	liura	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
P	P	PRE	MORPH=empty
Astorgues	Astorgues	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Rochafort	Rochafort	NOMpro	NOMB.=s|GENRE=m|CAS=n
cui	qui	PROdem	NOMB.=s|GENRE=m|CAS=n
hom	ọme	NOMcom	NOMB.=s|GENRE=m|CAS=n
las	lo3	DETdef	PERS.=3|NOMB.=p|GENRE=m|CAS=r
devia	devẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
per	pẹr	NOMcom	MORPH=empty
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
autres	autre	PROind	NOMB.=s|GENRE=m|CAS=n
cosols	consol	VERppe	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
X	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
£	liura	CONcoo	MORPH=empty
X	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
D	D	PRE	MORPH=empty
Balps	Balps	NOMpro	NOMB.=s|GENRE=m|CAS=n
contant	comtan	VERppa	NOMB.=x|GENRE=x|CAS=x
e	e	CONcoo	MORPH=empty
plus	plus	ADVgen	DEGRE=-
XXIIII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=r
£	liura	CONcoo	MORPH=empty
V	@num@	PROper	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Buseira	Buseira	NOMpro	NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
deitas	dicha	VERcjg	DEGRE=-
que	que	CONsub	MORPH=empty
sai	sai	VERcjg	MODE=imp|PERS.=2|NOMB.=s
avia	avẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
faitas	faire	VERcjg	MODE=imp|PERS.=2|NOMB.=p
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XVII	@num@	DETcar	NOMB.=p|GENRE=m|CAS=r
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
en	ẹn2	PRE	MORPH=empty
D	D	PRE	MORPH=empty
Rioletz	Riolet	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
los	lo2	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
autres	autre	PROind	NOMB.=s|GENRE=m|CAS=n
cosols	consol	VERppe	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
avia	avẹr	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
redut	rędre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	a2	PRE	MORPH=empty
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Rochafort	Rochafort	NOMpro	NOMB.=s|GENRE=m|CAS=n
a	a2	PRE	MORPH=empty
Nevers	Nevers	ADVgen	MORPH=empty
cant	can	PROcar	MORPH=empty
veniant	venir	VERppa	NOMB.=x|GENRE=x|CAS=x
de	de	PRE	MORPH=empty
Fransa	Fransa	NOMpro	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XX	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
per	pẹr	NOMcom	MORPH=empty
l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
anada	anada2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
Lhao	Lhao	NOMpro	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
D	D	PRE	MORPH=empty
Riolet	Riolet	NOMpro	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
VIII	@num@	PROcar	NOMB.=p|GENRE=m|CAS=r
£	liura	CONcoo	MORPH=empty
V	@num@	PROper	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que2	CONsub	MORPH=empty
lhi	lo3	NOMcom	NOMB.=s|GENRE=m|CAS=r
deviont	devẹr	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
lh	lo2	ADVgen	DEGRE=-
autre	autre	PROind	NOMB.=s|GENRE=f|CAS=r
cosol	consol	NOMcom	NOMB.=s|GENRE=m|CAS=r
n	ẹn2	ADVneg	MORPH=empty
D	D	PRE	MORPH=empty
Riolet	Riolet	NOMpro	NOMB.=s|GENRE=m|CAS=n
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
LXXV	@num@	ADJord	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Bualet	Biuolet	NOMpro	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
lhi	lo3	NOMcom	NOMB.=s|GENRE=m|CAS=r
deviont	devẹr	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
lh	lo2	ADVgen	DEGRE=-
autre	autre	PROind	NOMB.=s|GENRE=f|CAS=r
cosol	consol	NOMcom	NOMB.=s|GENRE=m|CAS=r
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XXV	@num@	DETcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
mais	mais	CONcoo	MORPH=empty
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Bualet	Biuolet	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
anada	anada2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
Lhao	Lhao	NOMpro	NOMB.=s|GENRE=m|CAS=r
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
II	@num@	PROcar	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que	CONsub	MORPH=empty
redet	rędre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
D	D	PRE	MORPH=empty
Rioletz	Riolet	NOMpro	NOMB.=s|GENRE=m|CAS=n
per	pẹr	NOMcom	MORPH=empty
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
chamnhe	cambi	NOMcom	NOMB.=s|GENRE=f|CAS=r
dels	del	ADVgen	NOMB.=s|GENRE=m|CAS=n
tornes	tornes	NOMcom	NOMB.=s|GENRE=m|CAS=n
blans	blanc	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p
que	que	CONsub	MORPH=empty
sai	sai	VERcjg	MODE=imp|PERS.=2|NOMB.=s
bailet	bailar	VERppe	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
cumi	comuṉ	VERppe	DEGRE=-
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
C	@num@	CONsub	NOMB.=s|GENRE=n|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
qu	que	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
P	P	PRE	MORPH=empty
d	de	PRE	MORPH=empty
Ermeneiras	Ermeneira	NOMpro	NOMB.=s|GENRE=m|CAS=n
qu	que	CONsub	MORPH=empty
enportet	emportar	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Item	item	NOMpro	NOMB.=s|GENRE=m|CAS=n
XL	caranta	ADJord	NOMB.=p|GENRE=m|CAS=n
s	sol	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
que	que2	CONsub	MORPH=empty
ac	avẹr	ADVgen	DEGRE=-
S	S	CONsub	DEGRE=-
lo	lo2	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
Mersers	Merseir	NOMcom	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
lhi	lo3	NOMcom	NOMB.=s|GENRE=m|CAS=r
